"01. 존재론 및 시원 공리계 (Ontological Axioms)",,,,,,
"Param_ID","Name","Name_en","Symbol","Description","Formula_Def","Parent_ID"
"ID_01","거치대 없음","No-holderꓼ Unfixability","∄ Fixing-holderꓼ ∄ Fixture","세상(Universe)은 고정되어있지_않다(Non-fixed)(고정될_수_없다(Unfixable))","No-holder ∧ Unfixability ≡ ∄ Fixing-holder ∧ ∄ Fixture","AX_03"
"ID_02","이행","Shift","Shiftꓼ 🡢","아무런 이행(Shift)이 없다면ꓹ 아무런 일도 일어나지 않은 채 현재 세상(Universe) 또한 실재(Reality)할 수 없다 그리고ꓹ ′이행(Shift)(🡢)′은 당연히(Naturally) 방향성(Directionality)을 가지며 압력(Pressure)이다 그리고ꓹ 무의_상태(Nothingness State)도 이행(Shift)되고 모든 실재(Reality)에는 이행(Shift)이 결부된다 그리고ꓹ 그 이행(Shift)에는 간극(Delta)(t1 – t0)이 결부된다","∄ Fixing-holder ≡ [ t0 🡢 t1 ] ≡ Shift ( 🡢 ) ≡ ∃","AX_01"
"ID_03","이행의_간극","Shift Delta","δ_Shiftꓼ δ🡢","이행(Shift)에 결부되어 결코 소거될 수 없는 간극(Delta)","Shift ( 🡢 ) ⊋ δ_Shift ( Phase ) ∧ [ Shift ( 🡢 ) – F_Shift ] ≡ δ_Shift","AX_01"
"ID_04","간극","Delta","δ","이행의_간극(Shift Delta)과 동일하며ꓹ 간극(Delta)만 따로 때어 표현할 때 사용","[ δ_Shift ( Phase ) + F_Shift ] ≡ δ","ID_03"
"ID_05","최소 단위","Unit","1Unit","다른 기저 단위의 표현에서 최소ꓹ 생략될 수 있다","( t0 🡢 t1 ∧ t1 – t0 ) ≡ 1Unit","ID_02"
"ID_06","유지","Maintenance","Maintenance","간극(Delta)은 결코 소거될 수 없으나ꓹ 관찰자에게 마치 정지한 채로 이어지고 있는 것 처럼 여겨지는 상태(State)","Shift ( 🡢 ) ⊋ Maintenance","ID_03"
"ID_07","유지의_간극","Maintenance Delta","δ_Maintenance","유지(Maintenance)를 형성(Formation)하고 있는 간극(Delta)","Maintenance ⫆ δ_Maintenance ∧ δ ⊋ δ_Maintenance ∧ Maintenance ≠ δ","ID_04"
"ID_08","기저 동치","-","-","이행(Shift)ꓹ 간극(Delta)ꓹ 압력(Pressure)ꓹ 부피(Volume) * 밀도(Density)ꓹ 질량(Mass)의 동치","Shift ( 🡢 ) ≡ δ ≡ P ≡ ( V * ρ ) ≡ m","-"
"ID_09","압력","Pressure","P","이행(Shift)에 결부되어 그 방향성(Directionality)으로 이행(Shift)하려는 힘(Force) 또는 그 방향성(Directionality) 자체ꓹ 이행(Shift)에 결부되어 결코 소거될 수 없는 힘(Force)","( V * ρ ) ≡ P ≡ δ ≡ Shift ( 🡢 )","ID_08"
"ID_10","부피","Volume","V","이행(Shift)에 결부되어 결코 소거될 수 없는 힘(Force)의 영향력(Leverage)ꓹ 밀도(Density)와도 결부된다","( P / ρ ) ≡ V ∝ P ⊋ V ≡ Distance","ID_08"
"ID_11","밀도","Density","ρ","이행(Shift)에 결부되어 결코 소거될 수 없는 힘(Force)의 농도ꓹ 부피(Volume)와도 결부된다","( P / V ) ≡ ρ ∝ P ⊋ ρ ∝ Distance","ID_08"
"ID_12","거리","Distance","Distance ≡ V","거리(Distance)는 부피(Volume)와 같으나ꓹ 압력(Pressure)(밀도(Density)) 분산(Dispersion) 따위를 설명하기 위해 사용","Distance ≡ V ∧ Distance ∝ ρ","ID_10"
"ID_13","운동","Motion","Motion ≡ ±∇Pρ","운동(Motion)도 이행(Shift)에 속하고 압력_수렴(Pressure Convergent)(+∇P)과 밀도_낙차(Density Gradient)(–∇ρ)에 따라 영속(Perpetuity)된다ꓼ 압력_수렴(Pressure Convergent)(+∇P)으로 표현하면 ′P_inward + P_outward′가 되고ꓹ 밀도_낙차(Density Gradient)(–∇ρ)로 표현하면 ′ρ_inward – ρ_outward′가 된다","Shift ( 🡢 ) ⫆ Motion_Vec ≡ [ ( P⭱_vec + P⭳_vec ) ⇄ ( ρ⭱_vec – ρ⭳_vec ) ] ≡ [ ( +∇P ⇄ –∇ρ ) ≡ ±∇Pρ ]","AX_01ꓹ AX_02ꓹ AX_03ꓹ AX_06ꓹ ID_02"
"ID_14","운동의 영속","Perpetuity of Motion","±∇Pρꟿ","운동(Motion)도 이행(Shift)에 속하고 압력_수렴(+∇P)과 밀도_낙차(–∇ρ)에 따라 영속(Perpetuity)된다ꓼ 압력_수렴(+∇P)으로 표현하면 ′P_inward + P_outward′가 되고ꓹ 밀도_낙차(–∇ρ)로 표현하면 ′ρ_inward – ρ_outward′가 된다"," [ ( +∇P_ΣP_U ( n ) ⇄ –∇ρ_ΣP_U ( n ) ] ⟹ Perpetuity ] ≡ ±∇Pρ_ΣP_U ( n ) ≡ Perpetuity of Motion ≡ ±∇Pρꟿ","AX_01ꓹ AX_02ꓹ AX_03ꓹ AX_06ꓹ ID_02"
"ID_15","질량","Mass","m","특정 위상(Phase)(위치ꓹ 시간(Time) 따위 포함)에서ꓹ 부피(Volume)를 구획했을 때 그 부피(Volume)의 힘(Force)에 농도를 뜻한다","P ≡ ( V * ρ ) ≡ m","ID_08"
"ID_16","원천_압력(상부_작용)","Original Pressure(Immediate Boundary Action)","P_ori ( IBA )","세상(Universe)이 고정되어있지_않다(Non-fixed)는 것으로 인한 방향성(Directionality)(이행(Shift))이 결부되어 있고 이 방향성(Directionality)으로 인해 영속(Perpetuity) 발생하는 압력(Pressure)","P_ori ( IBA ) ≡ U_Shift ( 🡢 )","AX_03"
"ID_17","세상(하부_작용)","Universe(Delayed Retention Action)","U ( DRA )","세상(Universe)의 부피(Volume) * 밀도(Density)","U ( DRA ) ≡ P_ret_U ≡ ΣP⤈_U ≡ ( V_ret_U * ρ_ret_U )","ID_16ꓹ BD_04"
"ID_18","세상의 총 압력(이층_관로_작용)","-","ΣP_U ( ADA )","실재(Reality)하는 압력(Pressure)의 총량","ΣP_U ( ADA ) ≡ ( P_ret_U + P_ori )","ID_16ꓹ ID_17"
"ID_19","음의 부피","-","P > V","실재(Reality)하는 압력(Pressure)의 총량에 대하여 부피(Volume)의 형성(Formation)은 후행(Subsequent)한다","( ΣP_U ≡ P ) ≡ [ ( P_ret_U ≡ V_ret_U * ρ_ret_U ) + P_ori ] ⟹ P > V","ID_16ꓹ ID_17ꓹ ID_18"
"ID_20","압력의 선행성","-","P ⟹ obj","압력(Pressure)의 총합이 세상(Universe)이고ꓹ 객체(Object)(질량(Mass))의 구분에는 부피(Volume)가 먼저 구획되어야 하므로 객체(Object)는 압력(Pressure)보다 하위 카테고리(Category)라고 하겠다","ΣP_U ⊋ ( U ≡ P_ret_U ) ⫆ ( V_Σobj * ρ_Σobj ) ≡ P_Σobj ⊋ obj","ID_12ꓹ BD_08"
"ID_21","압력과 밀도ꓹ 부피의 비례","-","P ∝ ρ ∝ V ∝ P","압력(Pressure)이 같다면 부피(Volume)와 밀도(Density)는 역비례하는 것 같지만ꓹ 이행(Shift)은 영속(Perpetuity)되고 완전히(Absolutely) 동일한 상태값은 비실재(Non-reality)하다 이에 밀도(Density)가 가변적_한계_밀도(Apexon)에 도달하면 부피_증가(Volume Increase) 하고 부피_증가(Volume Increase)하면 표면적(Surface Area)에 대한 내향_압력(Inward Pressure)이 증가(Increase)하므로 압력(Pressure)과 부피(Volume)ꓹ 밀도(Density)는 비례한다","P ∝ ρ ∝ V ∝ P ","AX_05ꓹ ID_10ꓹ ID_11ꓹ PH_03ꓹ BD_02"
"ID_22","기준_압력","Reference Pressure","P_ref","해당 문서에서 다른 언급이 없을때 사용되는 기준_압력(Reference Pressure) 값","P_ref ≡ [ V ( 2Unit ) * ρ ( 2Unit ) ] = 4Unit","-"
"ID_23","기준_간극","Reference Delta","δref","해당 문서에서 다른 언급이 없을때 사용되는 기준_간극(Reference Delta) 값","δref ≡ 4Unit","-"
"ID_24","기준_객체","Reference Object","obj_ref","해당 문서에서 다른 언급이 없을때 사용되는 기준_객체(Reference Object) 값","obj_ref ≡ [ V ( 2Unit ) * ρ ( 2Unit ) ] ≡ 4Unit","-"
"03. 구형 기하학 및 면적 비대칭 (Spherical Geometry & Asymmetry)",,,,,,
"Param_ID","Name","Name_en","Symbol","Description","Formula_Def","Parent_ID"
"GE_01","내향_표면적_반지름","Inward Surface Area radius","r_SA_out","압력(Pressure) 작용(Action) 후 변곡되는 반경의 반지름(Radius)","r_SA_out ≡ r_A_in + δ","AX_03"
"GE_02","외향_면적_반지름","Outward Area radius","r_A_in","압력(Pressure) 작용(Action) 전 반경의 반지름(Radius)","r_A_in > 0","AX_03"
"GE_03","내향_표면적","Inward Surface Area","SA⭳","압력(Pressure) 작용(Action) 전 반경","SA⭱ ≡ 4 * π * r_SA_out²","GE_01"
"GE_04","외향_면적","Outward Area","A⭱","압력(Pressure) 작용(Action) 후 변곡되는 반경","A⭳ ≡ 4 * π * r_A_in²","GE_02"
"GE_05","내향_표면적과 외향_면적의 차이","-","ΔSA","압력(Pressure) 작용(Action) 전 반경과 압력(Pressure) 작용(Action) 후 변곡되는 반경의 차이","ΔSA ≡ SA⭱ ( 4 * π * r_SA_out² ) – A⭳ ( 4 * π * r_A_in² )","GE_03ꓹ GE_04"
"04. 경계 역학 및 압력 출입 (Boundary Dynamics & Flux)",,,,,,
"Param_ID","Name","Name_en","Symbol","Description","Formula_Def","Parent_ID"
"BD_01","동적_교착","Dynamic Grid-lock","Grid-lockꟿ","특정 부분을 외부와 내부라고 말할 때 지표가 되는 경계(Boundary)(동적_경계(Dynamic Boundary)) 또는 그러한 밀도_낙차(Density Gradient)","Grid-lockꟿ ≡ ΔP ≡ [ ( P_ρ⭳ – P_ρ⤈ ) – ( P_ρ⭱ – P_ρ_ret – P_ρ⤉ ) ]","AX_02"
"BD_02","내향_압력","Inward Pressure","P⭳","동적_교착(Dynamic Grid-lock) 외부에서 내향_표면적(Inward Surface Area)으로 가해지는 전체 압력(Pressure)","P⭱ ≡ SA⭱ * P⭱_loc_SA⭱","BD_01ꓹ GE_03"
"BD_03","외향_압력","Outward Pressure","P⭱","동적_교착(Dynamic Grid-lock) 내부에서 외향_면적(Outward Area)으로 가해지는 전체 압력(Pressure)","P⭳ ≡ A⭳ * P⭳_loc_A⭳","BD_01ꓹ GE_04"
"BD_04","유입_압력","Inflow Pressure","P⤈","동적_교착(Dynamic Grid-lock) 외부에서 내부로 유입되는 압력(Pressure)","P⤈ ∝ ΔSA * P⭱_loc_ΔSA","BD_01ꓹ GE_05"
"BD_05","유출_압력","Outflow Pressure","P⤉","동적_교착(Dynamic Grid-lock) 내부에서 외부로 유출되는 압력(Pressure)","P⤉ ∝ P_ret + P⤈","BD_01ꓹ BD_04"
"BD_06","유입_압력과 유출_압력의 차이","-","ΔP⤈⤉","동적_교착(Dynamic Grid-lock) 내부로 유입되는 압력(Pressure)과 외부로 유출되는 압력(Pressure)의 차이","ΔP⤈⤉ ≡ P⤈ – P⤉","BD_01ꓹ BD_04ꓹ BD_05"
"BD_07","체류_시간","Retention Time","t_ret","압력(Pressure)의 동적_교착(Dynamic Grid-lock) 내부 체류_시간(Retention Time)은 작용(Action)량과 기준_압력(Reference Pressure)에 따라 가변적(Variable)이다ꓹ 단위로 ′tδ′를 사용한다","t_ret ≡ ( Σv_P_Action / vδ ≡ tδ )","BD_01ꓹ OBS_05"
"BD_08","체류_압력(t)","Retention Pressure(t)","P_ret ( t )","동적_교착(Dynamic Grid-lock) 내부로 유입되는 압력(Pressure)과 외부로 유출되는 압력(Pressure)의 차이의 누적","[ ( P_ret + P⤈ ) – P⤉ ] ≡ P_ret ( t )","BD_01ꓹ BD_04ꓹ BD_05"
"BD_09","동적_평형","Dynamic Equilibrium","Equilibriumꟿ","세상(Universe)의 모든 실재(Reality)는 동적_평형(Dynamic Equilibrium)을 이루고 있지만[δꓹ ρꓹ Pꓹ V > 0] 내외향_비대칭(Inward-Outward Asymmetry)하다 이에 그 비대칭(Asymmetry) 정도를 뜻한다","P⭱ : P⭳","BD_01ꓹ BD_02ꓹ BD_03"
"BD_10","삼투적 상호침투","Osmotic Interfused","𖥱ꓼ OI","모든 실재(Reality)의 끊김없는 영속(Perpetuity)과 밀도(Density)는 그 실재(Reality)의 삼투적_상호침투(Osmotic Interfused)를 뜻한다","( ρ > 0 ) ≡ OI","BD_05"
"05. 질량ꓹ 관성 및 운동 대칭 (Massꓹ Inertia & Motion)",,,,,,
"Param_ID","Name","Name_en","Symbol","Description","Formula_Def","Parent_ID"
"MASS_01","속도와 운동의 동치","-","v ≡ Motion","예를 들어 인간(Human)이 10톤을 직접 감각할 수는 없지만 측정할 수 있다 이에 인간(Human)의 관찰(Observation)은 시각이나 오감에 구속되지 않고 당연히 모든 속도(Velocity)는 광속과 다르므로 광속도 속도(Velocity)에 포함되고ꓹ 속도(Velocity) 또한 TC로 향한 압력(Pressure)(이행(Shift)ꓹ 운동(Motion))으로 벡터(Vecter)를 포함하며 운동(Motion)과 마찬가지로 압력_수렴(Pressure Convergent)(+∇P)과 밀도_낙차(Density Gradient)(–∇ρ)에 따른다","c ⊊ v_vec ≡ Motion_vec ≡ ±∇Pρ","ID_13"
"MASS_02","관성","Inertia","⦕⦖","관성(Inertia)도 벡터(Vecter)를 포함하고 압력_수렴(Pressure Convergent)(+∇P)과 밀도_낙차(Density Gradient)(-∇ρ)에 따른다","Inertia ≡ [ ( P⭱ + P⭳ ) ⇄ –∇ρ ] ≡ ±∇Pρ","AX_01ꓹ AX_02ꓹ ID_14"
"MASS_03","무게ꓹ 충격의 압력 수렴 표현(벡터)","-","Weight_vec ≡ I_vec","무게(Weight)와 충격(Impulse)(량)의 측정은 특정 방향(Direction)에 대한 이행(Shift)으로 운동(Motion)과 동일하고ꓹ 특정 방향(Direction)의(측정하는 그것(TMM)으로 향한) 압력(Pressure)이다","Weight_vec ≡ I_vec ≡ ( P⭱_vec_TC + P⭳_vec_TC )","ID_13ꓹ MASS_01"
"MASS_04","운동ꓹ 속도ꓹ 관성ꓹ 무게ꓹ 충격의 동치","-","Motion ≡ v ≡ Inertia ≡ Weight ≡ I","운동(Motion)ꓹ 속도(Velocity)ꓹ 관성(Inertia)ꓹ 무게(Weight)ꓹ 충격(Impulse)의 동치ꓼ 이하 ′형성에 대하여′에서 기호 ′v′는 운동과 속도를 포함한다","Motion ≡ v ≡ Inertia ≡ Weight ≡ I ≡ ±∇Pρ","ID_13ꓹ MASS_01ꓹ MASS_02ꓹ MASS_03"
"MASS_05","질량(t)","Mass ( t )","m ( t )","먼저 구획한 특정 범위(부피(Volume))의 체류_압력(Retention Pressure)","{ [ P_ret ( t ) / V ( t ) ] ≡ ρ ( t ) } ⟹ [ V ( t ) * ρ ( t ) ] ≡ m ( t )","ID_15ꓹ BD_08"
"MASS_06","체류_밀도(t)","Retention Density(t)","ρ_ret ( t )","질량(Mass)(t)의 체류_압력(Retention Pressure)에 밀도(Density)(평균_밀도(Average Density))","[ P_ret ( t ) / V ( t ) ] ≡ ρ ( t ) ≡ ρ_ret ( t ) ≡ Average Density_ret ( t )","ID_11ꓹ BD_08"
,,,,,,
"06. 동역학 및 밀도/저항 지형 (Dynamics & Terrain)",,,,,,
"Param_ID","Name","Name_en","Symbol","Description","Formula_Def","Parent_ID"
"-","-","-","-","-","-","-"
"07. 위상 및 객체화 프랙탈 위계 (Phases & Hierarchy)",,,,,,
"Param_ID","Name","Name_en","Symbol","Description","Formula_Def","Parent_ID"
"PH_01","포몬","Formon","𝔽","발현 자체를 표현하는 가장 기본 단위ꓹ 또는 관찰자(Observing Object)ꓹ 서술자 따위가 포커스(Focus)하는 최소 객체(Object)를 가리키는 용도로도 사용","𝔽 ⫆ Shift ( 🡢 )","ID_02"
"PH_02","형성자ꓼ 포머","Former","-","관찰자(Observing Object)ꓹ 서술자 따위가 포커스(Focus) 하는 최소 객체(Object)를 포함하는 카테고리(Category)을 가리키는 용도로 사용","Former_A ⊋ ( 𝔽_B ≡ Former_B )","PH_01"
"PH_03","에이펙손","Apexon","-","실재(Reality)하는 압력(Pressure) 총합 증가(Increase)에 따른 도달 가능한(압축(Compression) 가능한) 한계밀도는 가변적(Variable)이고ꓹ 그 가변적(Variable) 한계밀도를 뜻한다ꓼ ","Apexon ∝ ΣP_U","AX_04"
"PH_04","객체화","Objectification","obn","실재(Reality)하는 압력(Pressure) 총합 증가(Increase)에 따라ꓹ ′Apexon′도 점점 높아지고 이에 따라 점점 더 높은ꓹ 계층적 밀도(Density)를 형성(Formation)하는 과정","Objectification ≡ [ ΣP_U ( t + n ) ⟹ Apexon ( t + n ) ⟹ Former ( t + n ) ⟹ 𝔽 ( t + n ) ]","PH_03"
"PH_05","계층적 밀도 형성","-","-","밀도_분산(Density Dispersion)(-∇ρ)으로 인하여 Apexon은 Former의 압력(Pressure) 총합 50%를 넘을 수 없다","ΣP_U ⊋ P_ret_U ( P_ret_U는 ΣP_U의 50% 미만 ) ⊋ Apexon ( Apexon는 P_ret_U의 50% 미만 )","AX_02ꓹ ID_13ꓹ PH_02ꓹ PH_04"
"PH_06","비가역 순환의 영속","-","±∇Pρꟿ","가변적(Variable) 한계밀도에 압력(Pressure)이 추가되면 부피(Volume)가 증가(Increase)하고 부피(Volume)가 증가(Increase)하면 원천_압력(Original Pressure)이 증가(Increase)하고ꓹ 원천_압력(Original Pressure)이 증가(Increase)하면 가변적(Variable) 한계밀도가 증가(Increase)한다ꓹ 이와 같은 비가역_순환의_영속을 뜻한다","[ ( Apexon + P_ori ) ⟹ V_ret_U⯅ ⟹ P_ori⯅ ⟹ Apexon⯅ ⟹ Apexon ⟹ ( Apexon + P_ori ) ⟹ V_ret_U⯅... ] ⟹ ( ±∇Pρꟿ ⟹ ±∇ρVꟿ )","ID_16ꓹ ID_17ꓹ PH_03"
"08. 관찰 체계 및 상대 시차 (Observational Mechanics)",,,,,,
"Param_ID","Name","Name_en","Symbol","Description","Formula_Def","Parent_ID"
"OBS_01","압력_1단위_이행_속도","Unit-Pressure Shift Velocity","v_1UnitP","압력(Pressure) 1단위(1 Unit) 이행(Shift) 속도(Velocity)","v_P ≡ [ 1UnitV * ρ ( P_ref ) ] ∝ Distance","AX_01ꓹ AX_03ꓹ AX_04ꓹ ID_10ꓹ ID_11ꓹ ID_12ꓹ ID_14"
"OBS_02","간극_속도","Delta Velocity","vδ","간극_속도(Delta Velocity)(vδ)는ꓹ 압력_1단위_이행_속도(Unit-Pressure Shift Velocity)의 밀도(Density)(ρ)ꓹ 대상 압력(Pressure)(P)의 밀도(Density)(ρ)에 따라 가변적(Variable)이다","vδ ≡ [ v_P_ref – ρ ( 1Unitδ ) – ρ ( P_Target ) ]","OBS_01"
"OBS_03","관찰되는_속도","Observed Velocity","v_obs","관찰되는_속도(Observed Velocity)(v_obs)는ꓹ 관찰_수단(TC)과 간극_속도(Delta Velocity)(vδ)의 밀도(Density)(ρ)에 따라 가변적(Variable)이다","v_obs ≡ [ ρ ( P_TC ) – ρ ( 1Unitδ ) – vδ ]","OBS_02"
"OBS_04","간극_속도의 부피_1단위_이행_시간","-","t_P","간극_속도의 부피(Volume) 1단위(1 Unit) 이행(Shift) 시간(Time)","t_P ≡ [ ( 1UnitAction ≡ 1UnitV ) / vδ ]","OBS_02"
"OBS_05","간극_시간","Delta Time","tδ","간극_시간(Delta Time)(tδ)은ꓹ 간극_속도(Delta Velocity)의 부피_1단위_이행_시간(Unit-Volume Shift Time)(t_P)과 그 작용(Action) 횟수에 따라 가변적(Variable)이다","tδ ≡ ( t_P * ΣV_Action_t_P )","OBS_04"
"OBS_06","관찰되는_속도의 부피_1단위_이행_시간","-","t_TC","관찰되는_속도(Observed Velocity)의 부피(Volume) 1단위(1 Unit) 이행(Shift) 시간(Time)","t_TC ≡ [ ( 1UnitAction ≡ 1UnitV ) / v_obs ]","OBS_03"
"OBS_07","관찰되는_ 시간","Observed Time","t_obs","관찰되는_시간(Observed Time)(t_obs)은ꓹ 관찰되는_속도(Observed Velocity)의 부피_1단위_이행_시간(Unit-Volume Shift Time)과 그 작용(Action) 횟수에 따라 가변적(Variable)이다","t_obs ≡ ( t_TC * ΣV_Action_t_TC )","OBS_06"
"OBS_08","관찰의_간극","Observational Delta","δobs","피관찰_객체(Observed Object)의 영속(Perpetuity) 중인 운동(Motion) 상태에 대한 관찰(Observation)도 간극(Delta)이 ′0′일 수 없고ꓹ 이 관찰의_간극(Observational Delta)은 피관찰_객체(Observed Object)와 관찰_객체(Observing Object)의 밀도(Density) 그리고 작용(Action) 횟수(부피(Volume)ꓹ 거리(Distance)) 따라 가변적(Variable)이다","δobs ≡ t_obs","OBS_07"
"OBS_09","관찰작용의 영향(Effect)","-","eff_obs","TMM-Conduit의 밀도(Density)가 vδ(피관찰_객체(Observed Object))의 밀도(Density)보다 클 수록ꓹ TMM-Conduit의 밀도(Density)가 vδ의 밀도(Density)에 더 큰 변화를 일으킨다","eff_obs ≡ P_TC ≡ P⭱_TC ≡ P⭳_vδ ⟹ { [ ρ ( P⭱_TC ) > ρ ( P⭳_vδ ) ] ≡ Dispersion_ρ ( P⭱_TC ) ∧ Increase_ρ ( P⭳_vδ ) }","ID_13ꓹ BD_02ꓹ BD_03ꓹ BD_04ꓹ BD_05ꓹ BD_08ꓹ BD_09"
"OBS_10","유사_고정_상태","Quasi-fixed State","QFS","동적_평형(Dynamic Equilibrium)의 비대칭(Asymmetry) 정도에 대해서ꓹ 관찰자(Observing Object)가 운동(Motion)이라고 감각하지 못해ꓹ 마치 정지해 있는 것처럼 보이는 상태(State)","QFS ≡ ( vδ ≠ 0 ∧ v_obs = 0 )","AX_01ꓹ AX_03ꓹ ID_14ꓹ OBS_03ꓹ OBS_07ꓹ OBS_08"
